protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,5,0,8,1,10,1,1,10,0,1,0,0,0,1,4417
0,0,1,0,0,8,1,15,0,0,11,0,0,0,0,0,1,4418
0,0,1,8,0,89,1,12,0,0,13,0,1,0,0,0,1,4401
0,0,1,2,0,21,1,10,0,0,14,0,0,0,0,0,1,4368
0,0,1,3,0,56,1,13,0,0,13,0,1,0,0,0,1,4367
0,0,1,5,0,23,1,12,0,0,10,0,1,0,0,0,1,4361
0,0,1,12,0,518,1,8,0,1,6,0,1,0,0,0,0,4360
0,0,1,7,0,47,1,13,0,0,10,0,1,0,0,0,1,4391
0,0,1,55,0,277,1,10,0,0,18,0,0,0,0,0,1,4391
0,0,1,20,0,134,1,10,0,1,15,0,1,0,0,0,1,4387
0,0,1,76,0,8,1,10,0,0,10,0,0,0,0,0,1,4377
0,0,1,1,0,6,1,11,0,0,20,1,0,0,0,0,1,4375
0,0,1,451,0,10110,1,13,0,0,1,0,0,0,0,0,1,4338
0,0,1,165,1655,520,1,10,0,0,20,0,1,0,0,0,1,4354
0,0,1,4,0,92,1,11,0,1,15,0,0,0,0,0,0,4348
0,0,1,46,0,2051,1,14,0,0,15,0,1,0,0,0,1,4345
0,0,1,7,4,93,1,8,1,1,3,0,1,0,0,0,1,4348
1,0,1,19,12,403,1,9,0,1,11,0,1,0,0,0,1,4338
0,0,1,5,0,29,1,8,0,0,12,0,0,0,0,0,1,4326
1,0,1,92,327,253,1,15,0,1,14,0,1,0,0,0,0,4328
0,0,1,660,0,25740,1,8,0,0,6,0,0,0,0,0,1,4303
0,0,1,2,0,24,1,6,0,0,6,0,1,0,0,0,1,4325
0,0,1,1,0,5,1,8,0,0,6,0,0,0,0,0,0,4314
0,0,1,2,0,123,1,13,0,0,4,0,0,0,0,0,1,4308
0,0,1,5,0,95,1,11,0,0,16,0,0,0,0,0,0,4307
0,0,1,0,0,11,1,8,0,0,7,0,0,0,0,0,1,4294
0,0,1,4,0,8,1,12,0,1,12,0,1,0,0,0,1,4285
0,0,1,7,0,11,1,9,0,0,7,0,1,0,0,0,1,4291
0,0,1,58,0,46,1,10,1,0,3,0,0,0,0,0,0,4284
0,0,1,12,0,14,1,14,1,1,13,0,1,0,0,0,1,4239
0,0,1,104,860,154,1,9,0,1,12,0,1,0,0,0,1,4283
0,0,1,70,787,181,1,12,1,1,12,1,1,0,0,0,0,4274
0,0,1,1,0,7,1,7,0,0,19,0,1,0,0,0,1,4251
0,0,1,718,0,49444,1,13,1,0,15,0,1,0,0,0,1,4276
0,0,1,40,0,3454,1,11,1,0,11,0,1,0,0,0,1,4255
0,0,1,591189,46262,3821,1,9,0,1,10,0,1,3,0,1,0,4239
0,0,1,3,0,103,1,10,0,1,14,0,1,0,0,0,1,4239
0,0,1,69,72,94,1,6,0,0,6,0,0,0,0,0,1,4222
0,0,1,337,0,1410,1,10,0,0,6,0,0,0,0,0,1,4236
0,0,1,140,0,783,1,11,0,1,5,0,0,0,0,0,0,4224
0,0,1,105,0,780,1,9,0,0,16,0,1,0,0,0,1,4219
0,0,1,95,0,183,1,15,0,1,20,0,1,0,0,0,0,4215
0,0,1,3,0,73,1,9,0,0,10,0,0,0,0,0,1,4217
0,0,1,22,0,225,1,14,0,0,11,0,1,1,0,0,0,4205
0,0,1,0,0,5,1,7,0,0,3,0,0,0,0,0,1,4211
0,0,1,5,0,33,1,11,0,0,10,0,0,0,0,1,1,4207
0,0,1,3,0,7,1,7,1,1,17,0,1,0,0,0,1,4207
0,0,1,3,0,27,1,10,1,0,9,0,0,0,0,0,1,4207
0,0,1,16,0,12,1,11,1,0,14,0,1,0,0,0,1,4199
0,0,1,55,0,187,1,12,0,1,9,0,1,0,2,0,1,4179
0,0,1,4,0,106,1,10,0,1,6,0,1,0,0,0,1,4178
0,0,1,4,0,82,1,9,0,0,13,0,1,0,0,0,1,4178
0,0,1,17,124,11,1,15,1,1,13,0,1,0,0,0,1,4140
0,0,1,6,0,79,1,10,0,1,10,0,1,0,0,0,1,4177
0,0,1,278,906,1912,1,10,0,0,10,0,1,0,0,0,1,4165
0,0,1,0,0,28,1,10,0,0,16,0,1,0,0,0,1,4151
0,0,1,270,68,405,1,15,0,1,15,0,1,0,0,0,1,4148
