protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,1,1,35965895,3457,7716,0,15,1,1,15,0,1,1,0,0,1,4734
0,1,1,27209015,6328,44664,0,10,0,1,11,0,1,0,1,0,1,4912
0,1,1,58986302,625,42291,0,8,0,0,9,0,1,0,0,0,1,4491
0,1,1,22801416,0,1234,0,6,0,1,16,0,1,0,0,0,1,4965
0,1,1,20617221,146,4580,0,12,0,1,13,0,1,0,0,0,0,4773
0,1,1,25387162,166,3259,0,11,0,1,19,0,1,0,0,0,1,4709
0,1,1,24049513,123,38,0,10,0,0,11,0,0,0,0,1,0,4950
0,1,1,20088911,475,6580,0,11,0,0,12,0,1,1,0,1,1,4958
0,1,1,28504537,1,5301,0,11,0,1,13,0,1,0,0,0,1,4615
0,1,1,48113503,1797,69521,0,10,0,1,16,0,1,0,0,0,1,4526
0,1,1,17061730,771,10720,0,6,0,0,14,0,0,0,0,0,1,5013
0,1,1,30479180,235,67809,0,15,0,0,5,0,1,0,0,0,1,4921
0,1,1,26849503,67,14483,0,15,0,0,19,0,1,0,0,0,1,4960
0,1,1,30938894,1938,3692,0,9,0,0,4,0,0,0,0,0,1,4443
0,1,1,42872344,74,58342,0,6,0,0,14,0,1,0,0,0,1,4662
0,1,1,23756058,779,9488,0,8,0,0,8,0,1,0,0,0,1,5018
0,1,1,21867713,188,10812,0,11,0,1,12,0,1,0,0,0,0,5009
0,1,1,17556661,0,23741,0,9,0,0,13,0,1,0,0,1,1,4730
0,1,1,16654157,48,3023,0,5,0,0,18,0,1,0,3,0,1,4222
0,1,1,18960034,1,4700,0,9,0,1,10,0,1,0,0,0,1,4848
0,1,1,31878438,208,1934,0,9,0,0,2,0,0,0,0,0,1,4461
0,1,1,32220354,0,4650,0,10,0,0,11,0,1,0,0,0,1,4602
0,1,1,44574862,28,43173,0,15,0,1,11,0,1,0,0,0,1,4561
0,1,1,17899770,1034,15712,0,7,0,0,8,0,1,0,0,0,1,4884
0,1,1,15720258,9,22,0,7,0,1,7,0,1,0,0,0,0,4925
0,1,1,19760881,655,13143,0,12,0,0,13,0,1,0,0,0,1,5247
0,1,1,14872459,582,18766,0,12,0,1,13,0,1,0,0,0,1,5143
0,1,1,17144714,796,45450,0,12,0,0,13,0,1,0,0,0,1,5281
0,1,1,19632229,236,2740,0,11,0,1,17,0,1,0,0,0,1,4558
0,1,1,16916509,18216,26691,0,11,0,1,11,0,1,0,0,0,0,4953
0,1,1,11974887,1430,8922,0,7,0,0,9,0,0,0,0,1,1,4856
0,0,1,19383988,0,23296,0,14,0,1,15,0,0,0,0,1,1,4336
0,1,1,32446002,109,9667,0,13,0,1,7,0,1,1,0,0,1,4494
0,1,1,12284078,208,11011,0,13,0,0,14,0,1,0,0,0,0,5047
0,1,1,20560362,2783,42745,0,9,0,1,10,0,1,0,0,0,1,5671
0,1,1,19793882,4295,30950,0,13,0,1,14,0,1,0,1,1,1,4881
0,1,1,20228276,432,7700,0,12,1,0,12,0,1,0,0,1,1,4894
0,1,1,21099111,144,6204,0,12,0,1,10,0,1,0,0,0,1,4932
0,1,1,10861725,2328,1965,0,11,0,1,12,0,1,1,0,0,1,3980
0,1,1,17215735,539,3348,0,11,0,1,12,0,1,3,0,1,1,4189
0,1,1,20606936,1485,24913,0,7,0,1,12,0,1,2,0,0,1,4911
0,1,1,14153577,479,7386,0,7,0,0,8,0,1,5,0,1,0,4953
0,0,1,15550034,696,52718,0,11,0,0,12,0,0,0,0,0,1,4863
0,1,1,40353913,964,14289,0,11,0,1,12,0,1,0,0,0,1,4288
0,1,1,14556226,1073,59895,0,13,0,1,15,0,1,0,0,0,0,4860
0,1,1,17274898,407,86842,0,13,0,1,14,0,1,0,0,0,1,5310
0,1,1,18381527,0,2136,0,8,0,0,12,0,0,0,0,0,1,4445
0,1,1,13924004,220,28935,0,10,0,0,11,0,1,0,0,0,1,4911
0,1,1,27325101,66,665,0,15,0,0,16,0,1,0,0,0,1,4660
0,1,1,10320614,185,2331,0,12,0,0,13,0,1,0,0,0,1,4239
0,1,1,25491822,119,3425,0,14,0,0,14,0,1,5,0,0,1,4707
0,1,1,32088774,87,6107,0,8,0,1,14,0,1,0,0,0,1,4622
0,1,1,27886621,534,22299,0,14,0,0,8,0,1,0,0,0,1,5023
0,1,1,13312816,549,12594,0,11,0,1,12,0,1,0,0,0,1,4881
0,1,1,20366915,758,3141,0,12,0,0,12,0,1,0,0,0,1,4322
0,0,1,15103951,109,1822,0,8,0,1,9,0,1,0,0,0,1,3889
0,1,1,9543752,74130,7206,0,14,0,0,16,0,1,0,0,0,1,4953
0,1,1,11164912,657,16857,0,12,0,0,13,0,1,0,0,1,1,5003
0,1,1,11538056,766,13030,0,6,0,1,6,0,1,0,0,0,0,4863
0,0,1,592,0,0,0,8,0,1,13,0,1,1,0,0,0,1577
0,0,1,6950,0,0,0,8,0,1,18,0,1,1,0,0,1,2104
0,1,1,11407817,317,22520,0,8,0,1,8,0,1,0,0,0,1,5062
0,1,1,15934670,875,10370,0,4,0,1,4,0,1,1,0,0,1,5072
0,1,1,15355464,248,36237,0,11,0,0,12,0,1,0,0,0,1,5644
