protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days,average_tweets_per_day
0,1,1,46760508,69,12113,0,10,0,1,11,0,1,0,0,0,1,4222,2.869019422074846
0,1,1,30082906,778,11209,0,10,0,0,11,0,1,1,0,0,1,4914,2.281033781033781
0,1,1,37642926,563,42145,0,14,0,1,10,0,1,0,0,0,1,4963,8.491839613137216
0,1,1,36757521,887,50734,0,10,0,0,11,0,1,0,0,0,1,4991,10.165097174914846
0,1,1,25003872,2299,8775,0,7,0,0,7,0,1,0,0,0,1,4923,1.7824497257769654
0,1,1,35965895,3457,7716,0,15,1,1,15,0,1,1,0,0,1,4734,1.6299112801013942
0,1,1,27209015,6328,44664,0,10,0,1,11,0,1,0,1,0,1,4912,9.092833876221498
0,1,1,58986302,625,42291,0,8,0,0,9,0,1,0,0,0,1,4491,9.41683366733467
0,1,1,22801416,0,1234,0,6,0,1,16,0,1,0,0,0,1,4965,0.24853977844914402
0,1,1,20617221,146,4580,0,12,0,1,13,0,1,0,0,0,1,4773,0.9595642153781688
0,1,1,25387162,166,3259,0,11,0,1,19,0,1,0,0,0,0,4709,0.6920789976640476
0,1,1,24049513,123,38,0,10,0,0,11,0,0,0,0,1,1,4950,0.007676767676767677
0,1,1,20088911,475,6580,0,11,0,0,12,0,1,1,0,1,0,4958,1.327148043565954
0,1,1,28504537,1,5301,0,11,0,1,13,0,1,0,0,0,1,4615,1.1486457204767064
0,1,1,48113503,1797,69521,0,10,0,1,16,0,1,0,0,0,1,4526,15.360362350861688
0,1,1,17061730,771,10720,0,6,0,0,14,0,0,0,0,0,1,5013,2.1384400558547774
0,1,1,30479180,235,67809,0,15,0,0,5,0,1,0,0,0,1,4921,13.779516358463727
0,1,1,26849503,67,14483,0,15,0,0,19,0,1,0,0,0,1,4960,2.919959677419355
0,1,1,30938894,1938,3692,0,9,0,0,4,0,0,0,0,0,1,4443,0.8309700652712132
0,1,1,42872344,74,58342,0,6,0,0,14,0,1,0,0,0,1,4662,12.514371514371515
0,1,1,23756058,779,9488,0,8,0,0,8,0,1,0,0,0,1,5018,1.890793144679155
0,1,1,21867713,188,10812,0,11,0,1,12,0,1,0,0,0,1,5009,2.1585146735875425
0,1,1,17556661,0,23741,0,9,0,0,13,0,1,0,0,1,0,4730,5.0192389006342495
0,1,1,16654157,48,3023,0,5,0,0,18,0,1,0,3,0,1,4222,0.7160113690194221
0,1,1,18960034,1,4700,0,9,0,1,10,0,1,0,0,0,1,4848,0.9694719471947195
0,1,1,31878438,208,1934,0,9,0,0,2,0,0,0,0,0,1,4461,0.43353508182021966
0,1,1,32220354,0,4650,0,10,0,0,11,0,1,0,0,0,1,4602,1.0104302477183833
0,1,1,44574862,28,43173,0,15,0,1,11,0,1,0,0,0,1,4561,9.465687349265512
0,1,1,17899770,1034,15712,0,7,0,0,8,0,1,0,0,0,1,4884,3.217035217035217
0,1,1,15720258,9,22,0,7,0,1,7,0,1,0,0,0,1,4925,0.004467005076142132
0,1,1,19760881,655,13143,0,12,0,0,13,0,1,0,0,0,1,5247,2.5048599199542596
0,1,1,14872459,582,18766,0,12,0,1,13,0,1,0,0,0,0,5143,3.6488430876920086
0,1,1,17144714,796,45450,0,12,0,0,13,0,1,0,0,0,1,5281,8.606324559742474
0,1,1,19632229,236,2740,0,11,0,1,17,0,1,0,0,0,1,4558,0.6011408512505485
0,1,1,16916509,18216,26691,0,11,0,1,11,0,1,0,0,0,1,4953,5.38885523924894
0,1,1,11974887,1430,8922,0,7,0,0,9,0,0,0,0,1,1,4856,1.8373146622734762
0,0,1,19383988,0,23296,0,14,0,1,15,0,0,0,0,1,0,4336,5.372693726937269
0,1,1,32446002,109,9667,0,13,0,1,7,0,1,1,0,0,1,4494,2.1510903426791277
0,1,1,12284078,208,11011,0,13,0,0,14,0,1,0,0,0,1,5047,2.1816920943134535
0,1,1,20560362,2783,42745,0,9,0,1,10,0,1,0,0,0,1,5671,7.537471345441721
0,1,1,19793882,4295,30950,0,13,0,1,14,0,1,0,1,1,0,4881,6.340913747182954
0,1,1,20228276,432,7700,0,12,1,0,12,0,1,0,0,1,1,4894,1.573355128729056
0,1,1,21099111,144,6204,0,12,0,1,10,0,1,0,0,0,1,4932,1.2579075425790753
0,1,1,10861725,2328,1965,0,11,0,1,12,0,1,1,0,0,1,3980,0.4937185929648241
0,1,1,17215735,539,3348,0,11,0,1,12,0,1,3,0,1,1,4189,0.7992360945333015
0,1,1,20606936,1485,24913,0,7,0,1,12,0,1,2,0,0,1,4911,5.072897576868255
0,1,1,14153577,479,7386,0,7,0,0,8,0,1,5,0,1,1,4953,1.4912174439733494
0,0,1,15550034,696,52718,0,11,0,0,12,0,0,0,0,0,1,4863,10.840633353896772
0,1,1,40353913,964,14289,0,11,0,1,12,0,1,0,0,0,0,4288,3.33232276119403
0,1,1,14556226,1073,59895,0,13,0,1,15,0,1,0,0,0,1,4860,12.324074074074074
0,1,1,17274898,407,86842,0,13,0,1,14,0,1,0,0,0,1,5310,16.35442561205273
0,1,1,18381527,0,2136,0,8,0,0,12,0,0,0,0,0,0,4445,0.48053993250843646
0,1,1,13924004,220,28935,0,10,0,0,11,0,1,0,0,0,1,4911,5.891875381795968
0,1,1,27325101,66,665,0,15,0,0,16,0,1,0,0,0,1,4660,0.1427038626609442
0,1,1,10320614,185,2331,0,12,0,0,13,0,1,0,0,0,1,4239,0.5498938428874734
0,1,1,25491822,119,3425,0,14,0,0,14,0,1,5,0,0,1,4707,0.7276396855746761
0,1,1,32088774,87,6107,0,8,0,1,14,0,1,0,0,0,1,4622,1.3212894850713977
0,1,1,27886621,534,22299,0,14,0,0,8,0,1,0,0,0,1,5023,4.43937885725662
0,1,1,13312816,549,12594,0,11,0,1,12,0,1,0,0,0,1,4881,2.5802089735709894
0,1,1,20366915,758,3141,0,12,0,0,12,0,1,0,0,0,1,4322,0.7267468764460898
0,0,1,15103951,109,1822,0,8,0,1,9,0,1,0,0,0,1,3889,0.46850089997428646
0,1,1,9543752,74130,7206,0,14,0,0,16,0,1,0,0,0,1,4953,1.4548758328285887
0,1,1,11164912,657,16857,0,12,0,0,13,0,1,0,0,1,1,5003,3.369378372976214
0,1,1,11538056,766,13030,0,6,0,1,6,0,1,0,0,0,1,4863,2.679415998354925
0,0,1,592,0,0,0,8,0,1,13,0,1,1,0,0,1,1577,0.0
0,1,1,11407817,317,22520,0,8,0,1,8,0,1,0,0,0,0,5062,4.44883445278546
0,1,1,15934670,875,10370,0,4,0,1,4,0,1,1,0,0,0,5072,2.044558359621451
0,1,1,15355464,248,36237,0,11,0,0,12,0,1,0,0,0,1,5644,6.420446491849752
0,1,1,16136017,23,948,0,8,0,0,9,0,1,0,0,0,1,4854,0.19530284301606923
0,1,1,20574876,513,72690,0,11,1,1,14,0,0,0,0,0,1,4275,17.003508771929823
0,1,1,12011212,536,6310,0,5,0,1,16,0,1,0,0,0,1,4891,1.2901247188713965
0,1,1,45419017,27,41550,0,11,0,0,12,0,1,0,0,0,1,4924,8.438261575954508
0,1,1,11952324,614,15953,0,10,0,1,9,0,0,2,0,1,1,4572,3.4892825896762907
0,1,1,15124521,1534,71978,0,12,0,0,13,0,1,0,9,0,1,4994,14.412895474569483
0,1,1,15962272,259,2406,0,6,0,1,10,0,1,0,0,1,1,4579,0.5254422362961345
0,1,1,14134015,621,6342,0,9,0,0,10,0,1,0,0,0,0,4834,1.3119569714522135
0,1,1,11654996,532,610,0,10,0,1,11,0,1,0,0,0,1,4426,0.13782196113872572
0,1,1,16759986,390,26708,0,7,0,1,14,0,1,0,0,0,1,4257,6.27390180878553
0,1,1,19326879,49,7087,0,13,0,1,15,0,1,0,0,0,0,5136,1.379867601246106
0,1,1,15400151,149,5231,0,15,0,0,17,0,1,2,0,1,0,4543,1.1514417785604227
0,1,1,9880586,1667,21873,0,15,0,1,16,0,1,0,0,0,0,4855,4.505252317198764
0,1,1,17264046,635,6843,0,6,0,1,14,0,1,0,0,0,0,4828,1.4173570836785419
0,1,1,8225947,647,381,0,12,0,0,13,0,1,0,0,0,1,4802,0.07934194085797584
0,1,1,24341248,3,6746,0,8,0,0,10,0,1,0,0,0,1,4996,1.3502802241793435
0,1,1,8956271,69217,42620,0,12,0,1,13,0,1,0,0,0,1,4392,9.7040072859745
0,1,1,11797674,56,4091,0,15,0,0,16,0,1,0,0,0,1,4421,0.9253562542411219
0,1,1,19035887,292,2925,0,15,0,0,15,0,1,0,0,0,1,4198,0.6967603620771796
0,1,1,13630711,3380,14693,0,9,0,1,13,0,1,0,1,0,1,4953,2.966484958610943
0,1,1,8576510,109,10352,0,12,0,1,13,0,1,0,0,0,1,4705,2.200212539851222
0,1,1,8583522,1718,6662,0,11,0,0,12,0,1,0,0,0,1,4701,1.4171452882365454
0,1,1,15841661,146,3166,0,11,0,1,10,0,1,0,0,0,1,4089,0.7742724382489606
0,1,1,11379870,250,36105,0,13,0,0,14,0,1,0,0,0,0,5038,7.166534339023422
0,1,1,15939189,87,23265,0,12,1,0,14,0,1,0,1,0,1,4910,4.738289205702648
0,1,1,9894065,770,8509,0,5,0,1,5,0,1,0,0,0,1,4930,1.7259634888438133
0,0,1,6814779,1351,5782,0,5,0,1,5,0,1,0,0,0,1,5000,1.1564
0,1,1,9907535,0,10151,0,11,0,0,14,0,1,0,0,0,1,4848,2.0938531353135312
0,1,1,51727960,65,2716,0,8,0,1,11,0,1,0,0,0,1,4783,0.567844449090529
0,1,1,8058560,156,20958,0,7,0,1,8,0,1,0,0,0,1,4911,4.26756261453879
0,1,1,8546068,471,32222,0,11,0,0,12,0,1,0,0,0,1,4884,6.597461097461098
0,1,1,14831765,1447,53847,0,15,0,0,17,0,1,0,0,1,0,4960,10.85625
0,1,1,38092044,81,4803,0,9,1,0,16,0,1,0,0,0,1,4553,1.0549088513068308
0,1,1,9179401,4015,23861,0,10,0,1,11,0,1,0,0,0,1,5598,4.262415148267238
0,0,1,8116,3,20990,0,15,1,0,13,0,0,0,0,0,1,2949,7.117667005764666
0,1,1,12421313,447,2521,0,12,0,1,12,0,1,0,1,1,1,4552,0.5538224956063269
0,1,1,13680759,521,833,0,14,0,1,15,0,1,0,0,0,0,5016,0.16606858054226475
0,1,1,9795101,2393,24659,0,6,0,0,6,0,1,0,1,0,1,5659,4.357483654355893
0,1,1,11334674,811,7528,0,11,0,1,12,0,1,0,0,0,1,4250,1.771294117647059
0,1,1,9986996,414,5968,0,13,0,0,19,0,1,0,0,0,0,4420,1.3502262443438915
0,1,1,12649623,37,11513,0,6,0,0,6,0,0,0,0,0,1,5042,2.2834192780642604
0,1,1,10669828,1099,4924,0,8,0,1,17,0,1,2,0,0,0,4099,1.2012686020980727
0,1,1,9942151,85,11464,0,8,0,0,16,0,1,0,0,0,1,4652,2.464316423043852
0,1,1,14185377,2189,21266,0,7,0,1,8,0,1,0,1,0,1,5054,4.207756232686981
0,1,1,12519936,27303,29444,0,4,0,1,19,0,0,0,0,0,1,4229,6.962402459210216
0,1,1,9958915,0,7585,0,10,0,0,11,0,1,0,0,0,0,5609,1.352290960955607
0,1,1,14882217,510,1906,0,10,0,0,11,0,1,1,0,0,1,3564,0.5347923681257014
0,1,1,9931599,918,19304,0,11,0,0,11,0,0,0,0,0,1,4833,3.994206496999793
0,1,1,15547536,403,33783,0,14,0,0,17,0,1,0,0,0,0,4722,7.15438373570521
0,1,1,11462496,2382,25366,0,11,0,1,12,0,1,0,0,0,1,4814,5.269214790195264
0,1,1,7677085,307,7180,0,13,0,0,14,0,1,0,0,0,1,5611,1.2796292995900909
0,1,1,9313843,201,1082,0,15,1,1,16,0,1,0,0,0,1,4304,0.2513940520446097
0,1,1,13191926,958,20456,0,12,0,0,13,0,1,0,0,0,0,4851,4.216862502576788
0,1,1,6749866,68046,34146,0,11,0,1,12,0,1,1,0,0,1,4752,7.1856060606060606
0,1,1,9820930,317,12131,0,9,0,1,10,0,1,0,1,0,1,4954,2.4487283003633427
0,0,1,8894687,359,24232,0,10,0,1,11,0,1,0,0,0,1,4989,4.857085588294248
0,1,1,8694770,201,2426,0,11,1,1,10,0,1,0,0,1,0,4089,0.5932990951332844
0,1,1,19034697,142,1715,0,12,0,1,11,0,1,2,0,0,1,3715,0.4616419919246299
0,1,1,13988455,463685,7320,0,8,0,1,9,0,1,0,2,0,0,4536,1.6137566137566137
0,1,1,11568052,777,10572,0,13,0,1,14,0,1,0,0,0,1,4867,2.1721799876720773
0,1,1,14337487,411,2869,0,7,0,1,7,0,1,0,0,0,0,5014,0.5721978460311129
0,1,1,15777491,397,65362,0,8,0,0,6,0,1,1,3,1,1,4203,15.551272900309304
0,1,1,6943551,11445,7053,0,15,0,1,16,0,1,0,0,0,1,4947,1.4257125530624621
0,1,1,13774289,1542,16764,0,10,0,0,11,0,1,1,1,1,1,5042,3.3248710829036097
0,1,1,6818730,907,17914,0,11,0,1,19,0,1,3,2,0,1,4631,3.868278989419132
0,0,1,12917401,9,46586,0,13,1,0,20,1,0,0,0,0,1,4758,9.791088692728037
0,1,1,8858815,546,2812,0,11,0,1,11,0,1,5,2,0,1,3963,0.7095634620237194
0,1,1,6455844,9557,6497,0,9,0,1,10,0,1,0,0,0,1,4361,1.489795918367347
0,1,1,6212232,300,2918,0,14,0,1,15,0,1,1,0,0,1,4931,0.5917663759886432
0,1,1,15503204,160,25735,0,10,0,1,11,0,1,0,0,0,1,3913,6.57679529772553
0,1,1,7499672,304,3894,0,14,0,1,14,0,1,0,0,0,1,4266,0.9127988748241913
0,1,1,9266028,435,59186,0,14,0,0,16,0,1,1,0,0,1,4840,12.228512396694216
0,1,1,11796225,26531,34907,0,9,0,1,10,0,1,0,0,0,1,4030,8.661786600496278
0,1,1,9281751,398,3439,0,14,0,0,15,0,1,0,1,0,1,4884,0.7041359541359541
0,1,1,12132976,1814,20430,0,15,0,1,15,0,1,0,0,0,1,4928,4.1456980519480515
0,1,1,15489331,97,7976,0,12,0,0,13,0,1,0,0,0,0,4834,1.6499793131981795
0,1,1,4881928,4070,12017,0,4,0,1,6,0,1,0,0,0,1,4966,2.4198550140958517
0,1,1,6136896,20,3014,0,13,0,1,18,0,1,0,0,0,1,4154,0.725565719788156
0,1,1,5947475,423,36400,0,6,0,0,14,0,1,0,0,0,1,4936,7.374392220421393
0,1,1,10276653,316,77733,0,13,0,0,15,0,0,0,0,0,1,3692,21.054442036836402
0,1,1,12786714,511,12398,0,11,0,0,12,0,1,1,0,1,1,4818,2.573266915732669
0,1,1,8083781,803,6426,0,15,0,1,13,0,1,0,0,1,1,4853,1.3241294044920668
0,1,1,5728314,655,4388,0,14,0,1,15,0,0,0,0,0,1,4799,0.9143571577411961
0,1,1,5586190,1,16235,0,9,0,0,9,0,1,0,0,0,1,5022,3.2327757865392273
0,0,1,8384976,0,13307,0,14,0,1,1,0,0,0,0,0,1,3995,3.3309136420525656
0,1,1,6448890,7230,16845,0,12,0,1,5,0,1,0,1,0,0,4943,3.407849484118956
0,1,1,11849769,3017,242,0,12,0,1,13,0,1,0,0,0,1,5024,0.0481687898089172
0,1,1,12652777,978,26576,0,14,0,0,15,0,1,1,0,0,1,5535,4.801445347786811
0,1,1,11790901,59,12329,0,5,0,0,5,0,1,2,1,1,0,4935,2.498277608915907
0,1,1,8734918,397,965,0,15,0,1,12,0,1,0,0,1,1,5256,0.18359969558599695
0,1,1,9416425,439,8588,0,11,0,1,12,0,1,0,0,0,0,4534,1.894133215703573
0,1,1,6958497,1706,14479,0,12,0,1,17,0,1,0,0,0,1,4926,2.939301664636622
0,1,1,6726792,571,20801,0,12,0,1,13,0,0,0,0,0,0,4998,4.1618647458983595
0,1,1,11528064,724,22527,0,9,0,0,13,0,1,1,0,0,0,4498,5.008225878168075
0,1,1,7833598,488,7857,0,15,0,1,16,0,1,0,0,0,1,4883,1.6090518124104034
0,1,1,10193003,18627,9494,0,8,0,1,13,0,1,0,0,0,1,3993,2.3776609065865264
1,0,1,13,1,0,0,14,0,0,13,0,0,0,0,0,1,3843,0.0
0,1,1,9899263,318,18384,0,14,0,0,15,0,1,0,0,0,1,5219,3.5225138915501053
0,1,1,9221421,1346,14510,0,12,0,1,13,0,1,0,0,0,0,4918,2.950386335908906
0,1,1,12614839,399,9421,0,12,0,1,13,0,1,2,0,0,1,4676,2.0147562018819505
0,1,1,5565653,34016,230,0,15,0,0,16,0,1,0,0,0,1,5197,0.04425630171252646
0,1,1,15036634,788,20909,0,13,1,0,13,0,1,0,0,0,1,4579,4.566280847346582
0,1,1,6492454,6986,77161,0,11,0,0,18,0,1,0,0,0,1,4860,15.876748971193416
0,1,1,7291997,287,7321,0,10,0,0,16,0,1,0,1,0,1,4988,1.4677225340817963
0,1,1,7631216,65,1648,0,14,0,1,16,0,1,0,0,0,1,4650,0.35440860215053765
0,1,1,9214074,720,19715,0,3,0,1,4,0,1,1,1,0,1,4607,4.279357499457348
0,1,1,5504768,545,364667,0,11,0,1,12,0,1,1,0,1,1,5007,72.83143598961453
0,1,1,6363231,7025,23537,0,12,0,1,13,0,1,0,0,0,1,5105,4.610577864838394
0,1,1,9296262,930,5081,0,13,0,1,8,0,1,0,0,0,1,4931,1.0304197931454067
0,1,1,10473983,34,4937,0,14,1,1,16,0,1,0,0,0,1,5068,0.9741515390686661
0,1,1,21665392,223,5614,0,7,0,0,10,0,1,0,0,0,1,4426,1.2684139177586986
0,1,1,14786407,498,24553,0,11,0,0,18,0,0,0,0,0,1,4417,5.55875028299751
0,1,1,21279773,1676,58293,0,7,0,1,7,0,1,0,0,0,1,4503,12.945369753497669
0,1,1,7181000,895,33535,0,10,0,1,11,0,1,1,0,0,1,4753,7.055543867031349
0,1,1,7112566,730,10113,0,14,0,0,15,0,1,0,0,0,1,4829,2.0942224062952994
0,1,1,12644826,294,14378,0,10,0,1,11,0,1,0,0,0,1,4960,2.8987903225806453
0,1,1,11823029,854,7994,0,11,0,0,12,0,1,0,0,0,1,4947,1.6159288457651102
0,1,1,15016516,28,4227,0,15,0,1,12,0,1,0,0,0,1,4943,0.8551486951244184
0,1,1,11786324,3777,14747,0,11,0,0,14,0,1,0,0,0,1,4826,3.0557397430584334
0,1,1,7605321,1491,10681,0,10,0,1,11,0,1,0,0,0,1,4504,2.371447602131439
0,1,1,7311984,1346,22601,0,14,0,1,15,0,1,0,0,1,1,4657,4.853124328967146
0,1,1,23309306,118,4707,0,13,0,1,14,0,1,0,0,0,1,4840,0.9725206611570248
0,1,1,7213144,1329,1712,0,13,0,0,17,0,1,0,0,0,0,4939,0.3466288722413444
0,1,1,6163437,1,1882,0,4,0,1,4,0,1,0,0,0,1,4950,0.3802020202020202
0,1,1,5226923,61,4785,0,10,1,0,10,0,1,0,0,1,0,5014,0.9543278819305944
0,1,1,7008761,147,7476,0,10,0,0,11,0,1,0,0,0,1,4775,1.5656544502617802
0,1,1,7502201,1599,32103,0,12,0,1,13,0,1,3,0,0,1,5108,6.284847298355521
0,1,1,19739221,731,4372,0,11,0,1,12,0,1,0,0,0,1,4511,0.9691864331633784
0,1,1,5463083,2294,11193,0,12,0,0,14,0,1,1,0,1,1,4889,2.289425240335447
0,1,1,8082569,377,1839,0,10,0,1,17,0,1,0,0,0,0,4139,0.4443102198598695
0,1,1,12505632,169,16618,0,13,1,0,13,0,1,0,0,0,1,4874,3.40951990151826
0,1,1,7027154,14281,15161,0,9,0,1,10,0,1,0,0,0,0,3993,3.7968945654896067
0,1,1,8829750,476,2624,0,5,1,1,29,0,1,1,0,0,1,3757,0.6984295980835773
0,1,1,13968159,1039,15472,0,10,1,0,12,0,1,0,0,0,1,4814,3.2139592854175323
0,1,1,4814647,2139,24120,0,12,1,0,8,0,1,0,0,0,0,4932,4.890510948905109
0,1,1,7765640,623,13231,0,14,0,0,15,0,1,1,0,0,0,4997,2.647788673203922
0,1,1,6985997,165,2422,0,10,0,0,10,0,0,0,0,0,1,4459,0.543171114599686
0,1,1,6670691,23,2798,0,11,0,1,12,0,1,0,0,1,1,4659,0.600558059669457
0,1,1,5607214,937,7381,0,14,0,1,6,0,1,0,0,0,1,4232,1.7440926275992439
0,1,1,17328302,116,1736,0,11,0,1,11,0,1,2,0,0,0,4351,0.3989887382210986
0,1,1,14625795,237,8994,0,15,0,1,16,0,1,1,0,0,1,4918,1.8287921919479464
0,1,1,18015592,5,927,0,14,0,1,16,0,1,0,0,0,1,4861,0.1907015017486114
0,1,1,6442611,223,382,0,9,1,1,15,0,1,0,0,0,1,4372,0.08737419945105215
0,1,1,6770152,425,5000,0,9,0,0,10,0,1,0,0,1,0,5093,0.98173964264677
0,1,1,6956646,49989,10860,0,9,0,1,10,0,1,0,0,0,1,4860,2.234567901234568
0,1,1,12265141,511,4132,0,13,0,0,14,0,1,1,0,0,1,4960,0.8330645161290322
0,1,1,10718820,373,14704,0,14,0,0,15,0,1,0,0,0,1,4945,2.9735085945399393
0,1,1,6285998,1799,29750,0,9,0,1,9,0,1,0,0,0,1,4898,6.073907717435688
0,1,1,7819671,13210,5969,0,10,0,0,11,0,1,0,0,0,1,4828,1.2363297431648717
0,1,1,9391856,2069,103715,0,11,0,1,20,0,1,5,2,0,1,4791,21.64788144437487
0,1,1,7920338,199,7972,0,14,0,1,15,0,1,0,0,0,1,3857,2.0668913663469017
0,1,1,6161869,290,26712,0,9,0,0,12,0,1,0,0,0,1,4880,5.473770491803279
0,1,1,6582315,47,44967,0,9,0,1,17,0,0,0,0,0,1,4208,10.686074144486692
0,1,1,6633364,128,4591,0,14,0,1,15,0,1,0,0,0,1,4211,1.090239848017098
0,1,1,9910660,12,21834,0,15,0,1,18,0,1,0,0,0,1,4591,4.755826617294707
0,1,1,10872293,2537,13901,0,8,0,1,12,0,1,1,0,0,0,4345,3.199309551208285
0,1,1,10094266,14036,12809,0,11,0,1,16,0,0,0,0,0,0,3993,3.20786376158277
0,1,1,6311485,672,18570,0,13,0,0,14,0,1,0,0,0,1,4987,3.7236815720874272
0,1,1,14711907,519,1475,0,13,0,0,14,0,1,1,0,0,1,3990,0.36967418546365916
0,1,1,8038624,1925,434856,0,11,0,0,20,0,1,0,4,1,1,4288,101.41231343283582
0,1,1,12214589,432,38884,0,12,0,0,10,0,1,2,0,0,1,4791,8.11605092882488
0,1,1,9334031,435,27076,0,9,0,0,14,0,1,0,0,0,1,4810,5.629106029106029
0,1,1,20097902,214,42080,0,11,0,1,11,0,1,1,0,0,1,4764,8.832913518052058
0,1,1,22182782,17,2051,0,13,0,1,14,0,1,0,1,0,1,3985,0.5146800501882057
0,1,1,6220931,318,7149,0,10,0,0,13,0,1,0,0,1,1,4840,1.4770661157024794
0,1,1,6216657,743,9584,0,9,0,0,17,0,1,0,0,0,1,4805,1.994588969823101
0,1,1,4421620,342,5504,0,8,0,0,10,0,1,0,0,0,0,5003,1.1001399160503698
0,1,1,10483483,568,6621,0,12,0,0,6,0,1,0,0,0,1,4389,1.508544087491456
0,1,1,9090393,862,3887,0,14,0,1,17,0,1,0,0,0,1,4765,0.8157397691500524
0,1,1,5011974,340,10961,0,13,0,1,18,0,1,0,0,0,1,4954,2.2125555106984254
0,1,1,4643920,42011,4440,0,3,0,0,15,0,1,2,0,1,1,5567,0.7975570325130231
0,1,1,6961415,5438,6502,0,12,0,0,13,0,0,0,0,0,1,4225,1.5389349112426036
0,0,1,4987391,53,61370,0,15,0,1,15,0,1,0,0,0,1,4242,14.467232437529468
0,1,1,11044467,14,19760,0,9,0,0,10,0,1,0,0,1,1,4798,4.118382659441434
0,1,1,11419667,1494,17361,0,8,0,1,8,0,1,1,1,0,1,4987,3.481251253258472
0,1,1,6854257,824,16048,0,9,0,0,9,0,0,0,0,0,1,5076,3.161544523246651
0,1,1,6507607,1668,14359,0,7,0,1,8,0,1,1,0,0,1,4940,2.90668016194332
0,1,1,6031348,105,7803,0,10,0,0,16,0,1,0,0,0,1,4901,1.5921240563150378
0,1,1,5441641,1155,28399,0,4,0,1,8,0,1,0,0,0,1,4881,5.818274943659087
0,1,1,4668489,5795,30562,0,10,0,1,11,0,1,0,0,0,1,5002,6.109956017592963
0,0,1,1011,8,104,0,7,0,0,19,0,0,0,0,0,1,2618,0.03972498090145149
0,1,1,5970951,104,5643,0,9,0,1,10,0,1,0,0,0,1,4851,1.163265306122449
0,1,1,6799901,248,6194,0,14,0,0,15,0,1,0,0,1,1,4916,1.259967453213995
0,1,1,1125036,120,526,0,10,0,1,12,0,1,3,0,0,1,4988,0.10545308740978349
0,1,1,6232496,994,32721,0,9,0,1,10,0,1,0,0,0,1,4145,7.8940892641737035
0,0,1,5781335,142,9744,0,11,0,0,19,0,0,0,0,0,1,4888,1.9934533551554827
0,1,1,6783139,419,91309,0,11,0,1,12,0,1,0,0,1,1,4512,20.23692375886525
