verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
1,0,170054,333,6199,0,7,0,0,9,1,1,0,0,0,1,3692
0,1,143,255,1653,0,12,0,0,2,0,0,0,0,0,1,3334
0,1,17,40,1146,1,11,0,0,11,0,0,0,0,0,1,5196
0,1,220,115,18185,0,14,1,0,13,0,1,0,0,0,1,3724
1,1,310856,6128,29783,0,11,0,1,15,0,1,0,1,1,1,4989
0,1,1746,2761,83038,0,15,0,1,3,0,1,0,0,0,1,4689
0,1,114,105,23108,0,6,1,0,19,0,0,0,0,0,1,4718
1,0,6695174,352,4523,0,8,0,0,13,0,1,0,0,0,1,4810
0,1,26,81,2556,0,15,0,0,12,0,1,0,0,0,1,4926
0,1,23,79,1188,0,8,0,1,1,0,0,0,0,0,0,1903
0,1,1593,403,162911,0,9,0,0,1,0,0,0,0,0,1,4246
0,1,619,482,59780,0,9,0,0,17,0,1,0,0,0,1,3173
1,1,64212,700,203073,0,15,0,1,13,0,1,0,0,0,1,3030
0,0,100,390,2265,0,15,0,1,14,0,1,0,0,0,1,3318
0,1,40,579,1205,1,14,0,1,13,0,1,0,0,0,1,1980
1,1,2011859,5147,86902,1,10,0,1,11,0,1,1,0,1,1,4986
0,1,414243,149,14683,1,15,0,1,10,0,1,0,0,0,1,4982
0,0,16,0,307,0,6,0,1,4,0,1,0,0,0,0,3338
0,1,608,456,46032,0,6,0,1,4,0,1,0,1,0,1,3689
0,1,29336,531,1986,0,11,0,1,12,0,1,0,0,0,1,4330
1,0,1287488,59,4633,0,3,0,0,18,0,1,0,0,0,1,5048
0,0,48,102,1161,0,9,0,0,6,0,1,0,0,0,1,4932
1,0,3480,148,498,0,11,0,1,12,0,1,0,0,0,0,3619
0,1,560,945,32042,0,9,0,0,4,0,1,0,0,0,1,2758
0,1,1825,596,839,0,10,0,1,11,0,1,0,0,0,1,4020
0,0,1,469,220,0,12,0,1,15,0,1,0,0,0,0,4333
1,1,17226,9,728,0,10,0,1,14,0,1,1,0,0,1,3905
0,1,3,43,3066,1,8,0,0,4,0,1,0,0,0,0,4896
1,1,1671,1409,7921,0,14,0,1,15,0,1,3,0,0,1,3316
1,1,20176,296,2663,0,10,0,0,11,0,1,0,0,1,1,4705
1,1,2590,771,10632,0,13,0,1,14,0,1,0,1,0,1,4915
0,0,417,564,3963,0,8,1,0,5,0,1,0,0,0,0,3580
0,1,80,35,10145,1,14,0,0,10,0,1,0,2,0,1,4888
0,1,38,134,1165,1,10,0,1,10,0,1,0,0,0,1,4918
0,1,14,0,730,1,9,0,1,4,0,1,0,0,0,0,3985
0,1,585,99,1213,0,15,0,1,13,0,1,1,0,0,1,4954
0,0,109,49,738,0,11,0,1,20,0,1,0,0,0,1,1503
0,0,281,516,1664,0,6,0,0,8,0,0,0,5,0,1,4956
0,1,206,120,3491,0,10,0,1,16,0,1,0,0,0,0,4866
0,1,7,0,30,1,8,0,0,13,0,1,0,0,1,1,4453
1,0,3646,1272,37077,0,12,0,1,9,0,0,0,0,0,1,5036
0,1,286,304,19418,1,14,1,0,4,0,0,0,0,0,1,3655
0,0,29,170,3084,1,9,0,0,7,0,0,0,0,0,0,3659
0,0,5,0,27,1,12,0,1,16,0,1,0,0,1,1,3885
0,0,2,40,1702,1,10,0,0,9,0,0,0,0,0,0,3687
0,1,22,71,3596,1,9,0,0,5,1,1,0,0,0,1,4599
0,1,48,128,2862,1,15,0,0,15,0,0,0,0,0,0,4093
0,1,212290,1233,55496,0,7,0,0,7,0,0,0,0,0,1,5636
0,0,752,857,167475,1,9,0,0,2,0,0,0,0,1,1,3937
0,1,280,429,324,0,13,0,1,24,0,1,3,0,0,1,1578
0,0,18,0,1909,1,8,1,1,14,1,1,0,0,0,1,4376
0,1,2264271,853,3249,0,8,0,0,9,0,0,0,0,0,1,4902
1,1,34610,1697,16058,0,13,0,0,19,0,1,0,0,0,1,4568
0,1,789,424,2392,0,15,0,0,24,0,1,2,0,0,1,1880
0,1,27,389,159,1,9,0,1,3,0,1,0,0,0,1,4456
1,1,1441615,114,15437,0,12,0,0,13,0,1,0,0,0,1,4758
0,1,39,663,476,1,14,0,1,4,0,1,0,0,1,1,2233
1,1,907899,29,3586,0,11,0,0,12,0,1,5,0,0,1,4756
0,0,10,34,1329,1,11,0,1,14,0,1,0,0,0,1,2243
0,1,21175,11994,12206,0,7,1,1,10,0,1,0,0,1,1,3477
0,1,1007,854,46275,0,10,1,1,7,0,1,0,1,0,1,3671
0,0,17,26,1366,0,10,0,0,13,0,1,0,0,0,0,4930
0,0,0,0,192,1,15,0,0,14,0,0,0,0,0,1,1935
0,1,111,279,6611,0,8,0,0,17,0,1,0,0,0,1,3577
0,1,307,262,14848,0,13,1,0,19,0,0,0,0,0,1,3604
0,1,1080,1981,53724,0,7,0,0,6,0,1,0,0,0,1,4883
0,1,634,560,56147,0,13,0,0,9,1,0,0,0,0,1,2831
0,1,187,82,1690,0,11,0,1,5,0,1,0,0,0,1,4728
0,1,6421,2275,10479,0,15,0,0,28,1,1,5,0,0,1,3884
1,1,1655993,90,23510,0,14,0,0,15,0,1,0,0,1,1,4128
1,1,344511,13455,312111,0,14,0,0,14,0,1,1,0,0,1,3646
0,1,106,268,954,0,11,0,0,8,0,1,0,0,0,0,4933
0,1,419,1601,42302,0,9,1,0,18,0,1,0,0,0,1,3997
0,0,45,105,83,1,12,0,1,12,0,1,0,0,1,1,2511
0,0,1,0,156,1,15,0,0,8,0,0,0,0,0,0,1935
0,1,3633,4987,39714,0,8,0,0,15,0,1,1,0,0,1,5673
0,1,77,271,1290,0,8,0,1,4,0,0,0,0,0,0,4110
0,1,12,32,1520,1,9,0,0,20,0,1,0,0,0,1,3610
0,0,235,188,10376,1,11,0,0,7,0,1,0,0,0,0,2820
0,1,634479,10,13355,0,15,1,1,16,1,1,0,0,0,0,3947
1,1,139334,2926,19323,0,13,0,0,14,0,1,1,1,1,1,4941
0,1,16422,6507,23898,0,10,1,0,20,0,0,0,0,0,1,3638
0,1,56,442,5544,0,9,0,1,5,0,1,0,0,0,1,4080
0,1,39,344,3380,1,10,0,1,13,0,1,0,0,0,1,4590
1,1,1232361,624,3490,0,12,0,0,15,0,1,0,0,0,0,4872
1,0,1276269,1450,33048,0,6,0,1,13,0,1,0,1,0,1,5319
1,1,20854,1964,7522,0,11,0,0,18,0,1,3,0,0,1,5267
0,1,7,90,24,0,11,0,1,16,0,1,0,0,0,1,1682
0,1,301,131,1483,0,10,0,1,35,1,1,0,0,0,1,1645
0,1,531,384,25824,0,12,0,0,23,0,0,0,0,0,1,2041
1,1,2095,2099,27300,0,8,0,0,10,0,1,4,0,0,1,4972
0,1,399,0,7957,1,11,0,0,10,0,1,0,0,0,1,4156
0,1,61344,22544,25509,0,13,1,0,11,0,0,0,0,0,1,3902
0,0,15,28,1326,1,15,0,0,16,0,1,0,0,0,1,2244
1,1,377690,4314,61023,0,12,0,1,13,0,1,0,1,0,1,4853
1,1,257807,1543,39985,0,6,0,1,39,1,1,0,0,0,1,5139
0,1,94,0,7033,1,11,0,1,11,0,0,0,0,0,1,3540
1,1,3953,1078,20301,0,10,0,1,11,0,1,0,0,0,1,4902
0,0,320,1784,5015,0,8,0,0,9,0,0,0,0,0,1,4346
1,1,4280747,17,6068,0,13,0,1,14,0,1,0,0,0,1,4770
0,0,1387,3648,9934,0,10,0,0,12,0,1,0,0,0,1,2994
0,1,2,114,2433,1,8,0,0,22,0,1,0,0,0,1,4434
1,0,48689,270,21235,0,11,0,0,14,0,0,0,0,0,1,3110
0,1,164,260,2098,1,13,0,1,15,0,1,0,0,1,1,2766
1,0,422985,1099,3987,0,10,0,1,23,0,1,0,0,0,1,4455
0,1,309,716,4756,0,8,0,0,4,0,1,0,0,0,1,4771
0,1,1491,1267,9125,0,13,0,0,17,0,0,0,0,0,1,3368
